"","new_genes","BR1_15","BR1_30","BR1_60","BR1_75","BR3_15","BR3_30","BR3_60","BR3_75","BR4_15","BR4_30","BR4_60","BR4_75","BR5_15","BR5_30","BR5_60","BR5_75","old_genes"
"1822","SACI_RS09570",56.1029969296421,41.1829471005994,71.4186050042327,21.2509831596727,27.5113929419903,35.2902740086415,46.3031760021067,40.1278852391412,76.283427203391,39.3478740800949,54.8469963159785,14.2172010580042,67.9884224770545,44.9585250711339,73.4023710575648,39.5629976868535,"Saci_1979"
"1823","SACI_RS09575",40.0735692354586,53.8546231315531,77.2093027072786,9.10756421128828,41.2670894129855,38.0049104708447,46.3031760021067,9.26028120903259,68.6550844830519,51.4549122585856,72.298313325608,23.6953350966736,80.5788710839165,79.9262667931269,96.1824172478435,14.1296420310191,"Saci_1980"
"1824","SACI_RS09580",24.0441415412752,12.6716760309537,27.0232559475475,6.07170947419219,27.5113929419903,19.0024552354223,23.1515880010534,3.08676040301087,22.8850281610173,18.1605572677361,29.9165434450792,0,17.6266280496067,24.9769583728521,40.4978598938288,5.65185681240764,"Saci_1981"
"1825","SACI_RS09585",3689.43994094456,3101.39270857591,15644.5349610623,148.756882117709,2613.58232948908,2220.57262608221,10485.0969658104,129.643936926456,4762.62863839838,3347.59605635269,11188.7872484596,180.08454673472,3638.6396473831,2752.46081268831,14558.9806318315,166.729775966025,"Saci_1982"
"1826","SACI_RS09590",112.205993859284,91.8696512244141,430.441862593078,6.07170947419219,49.5205072955826,81.4390938660957,259.812265345154,12.3470416120435,91.5401126440692,81.7225077048124,239.332347560633,28.4344021160083,55.3979738701926,59.9447000948451,351.825157827638,14.1296420310191,"Saci_1983"
"1827","SACI_RS09595",18.7009989765474,50.6867041238147,30.8837210829114,33.394402108057,63.2762037665778,38.0049104708447,43.730777335323,12.3470416120435,33.0561517881361,21.1873168123588,27.4234981579893,14.2172010580042,30.2170766564687,34.967741721993,40.4978598938288,14.1296420310191,"Saci_1984"
"1828","SACI_RS09600",16.0294276941835,0,7.72093027072786,3.03585473709609,19.2579750593932,5.42927292440638,15.4343920007022,30.8676040301087,7.6283427203391,9.08027863386804,9.97218114835973,9.47813403866945,7.55426916411717,0,10.1244649734572,2.82592840620382,"Saci_1985"
"1829","SACI_RS09605",8.01471384709173,15.8395950386921,21.2325582445016,3.03585473709609,30.2625322361894,16.2878187732191,23.1515880010534,3.08676040301087,10.1711236271188,9.08027863386804,7.4791358612698,4.73906701933473,7.55426916411717,9.99078334914086,7.59334873009291,0,"Saci_1986"
"1830","SACI_RS09610",32.0588553883669,9.50375702321526,36.6744187859573,18.2151284225766,27.5113929419903,21.7170916976255,23.1515880010534,30.8676040301087,38.1417136016955,18.1605572677361,14.9582717225396,33.1734691353431,32.7351663778411,29.9723500474226,45.5600923805574,16.9555704372229,"Saci_1987"
"1831","SACI_RS09615",69.4608533414616,91.8696512244141,90.7209306810523,30.3585473709609,66.0273430607768,78.7244574038925,92.6063520042134,33.9543644331195,101.711236271188,75.668988615567,64.8191774643382,28.4344021160083,90.651229969406,74.9308751185564,98.7135334912078,39.5629976868535,"Saci_1988"
"1832","SACI_RS09620",48.0882830825503,63.3583801547684,34.7441862182754,57.6812400048258,49.5205072955826,32.5756375464383,38.5859800017556,61.7352080602173,30.5133708813564,54.4816718032083,34.902634019259,66.3469382706862,40.2894355419582,24.9769583728521,37.9667436504645,73.4741385612993,"Saci_1989"
"1833","SACI_RS09625",101.519708729829,110.877165270845,57.9069770304589,136.613463169324,104.543293179563,92.2976397149084,69.4547640031601,95.6895724933368,53.3983990423737,78.6957481601897,47.3678604547087,75.8250723093556,83.0969608052888,94.9124418168381,48.0912086239217,67.8222817488917,"Saci_1990"
"1834","SACI_RS09630",77.4755671885533,133.052598325014,65.6279073011868,124.47004422094,77.0319002375729,73.2951844794861,43.730777335323,67.908728866239,94.0828935508489,81.7225077048124,57.3400416030684,85.3032063480251,75.5426916411717,54.9493084202747,50.622324867286,87.6037805923184,"Saci_1991"
"1835","SACI_RS09635",45.4167118001864,31.6791900773842,36.6744187859573,3.03585473709609,5.50227858839807,27.1463646220319,36.0135813349719,3.08676040301087,45.7700563220346,33.2943549908495,22.4374075838094,0,10.0723588854896,49.9539167457043,50.622324867286,5.65185681240764,"Saci_1992"
"1836","SACI_RS09640",24.0441415412752,22.1754330541689,7.72093027072786,12.1434189483844,8.2534178825971,24.4317281598287,12.8619933339185,15.4338020150543,12.7139045338985,18.1605572677361,22.4374075838094,14.2172010580042,12.5904486068619,9.99078334914086,7.59334873009291,8.47778521861146,"Saci_1993"
"1837","SACI_RS09645",37.4019979530947,25.3433520619073,40.5348839213213,42.5019663193453,41.2670894129855,35.2902740086415,36.0135813349719,30.8676040301087,25.427809067797,42.3746336247175,32.4095887321691,28.4344021160083,20.1447177709791,34.967741721993,37.9667436504645,45.2148544992611,"Saci_1994"
"1838","SACI_RS09650",56.1029969296421,38.015028092861,11.5813954060918,85.0039326386906,44.0182287071845,29.8610010842351,30.8687840014045,30.8676040301087,27.9705899745767,39.3478740800949,19.9443622967195,52.129737212682,32.7351663778411,24.9769583728521,37.9667436504645,36.7370692806496,NA
"1839","SACI_RS09655",72.1324246238255,50.6867041238147,92.6511632487343,81.9680779015946,44.0182287071845,48.8634563196574,79.7443586702949,86.4292912843042,86.4545508305098,81.7225077048124,102.214856770687,56.8688042320167,120.868306625875,34.967741721993,124.024695924851,62.170424936484,"Saci_1998"
"1840","SACI_RS09660",50.7598543649143,66.5262991625068,42.4651164890032,75.8963684274024,44.0182287071845,46.1488198574542,33.4411826681882,67.908728866239,58.4839608559331,66.588709981699,59.8330868901584,52.129737212682,65.4703327556821,44.9585250711339,30.3733949203716,67.8222817488917,"Saci_1999"
"1841","SACI_RS09665",50.7598543649143,34.8471090851226,88.7906981133704,51.6095305306336,35.7648108245874,38.0049104708447,56.5927706692415,46.301406045163,76.283427203391,60.5351908924536,84.7635397610577,37.9125361546778,78.0607813625441,79.9262667931269,75.9334873009291,56.5185681240764,"Saci_2000"
"1842","SACI_RS09670",333.946410295489,285.112710696458,602.232561116773,60.7170947419219,244.851397183714,228.029462825068,514.479733356741,77.1690100752716,457.700563220346,263.328080382173,615.782185911213,85.3032063480251,327.351663778411,289.732717125085,397.385250208195,81.9519237799108,"Saci_2001"
"1843","SACI_RS09675",10.6862851294556,0,1.93023256768196,36.4302568451531,16.5068357651942,0,5.14479733356741,37.0411248361304,10.1711236271188,12.1070381784907,4.98609057417986,42.6516031740125,2.51808972137239,4.99539167457043,5.0622324867286,73.4741385612993,"Saci_2002"
"1844","SACI_RS09680",2.67157128236391,3.16791900773842,3.86046513536393,6.07170947419219,2.75113929419903,5.42927292440638,5.14479733356741,6.17352080602173,7.6283427203391,0,0,4.73906701933473,0,0,2.5311162433643,0,"Saci_2003"
"1845","SACI_RS09685",0,3.16791900773842,5.79069770304589,6.07170947419219,0,0,7.71719600035112,0,7.6283427203391,6.05351908924536,4.98609057417986,0,0,0,0,11.3037136248153,"Saci_2004"
"1846","SACI_RS09695",16.0294276941835,12.6716760309537,15.4418605414557,12.1434189483844,22.0091143535923,16.2878187732191,12.8619933339185,18.5205624180652,20.3422472542376,21.1873168123588,14.9582717225396,4.73906701933473,17.6266280496067,29.9723500474226,17.7178137035501,8.47778521861146,"Saci_2005"
"1847","SACI_RS09700",10.6862851294556,41.1829471005994,23.1627908121836,27.3226926338649,33.0136715303884,13.5731823110159,33.4411826681882,37.0411248361304,38.1417136016955,36.3211145354722,14.9582717225396,18.9562680773389,35.2532560992134,64.9400917694156,10.1244649734572,31.085212468242,"Saci_2006"
"1848","SACI_RS09710",205.710988742021,177.403464433351,397.627908942485,39.4661115822492,189.828611299733,130.302550185753,367.85300935007,46.301406045163,160.195197127121,139.230939052643,269.248891005713,28.4344021160083,163.675831889205,109.898616840549,359.418506557731,22.6074272496306,"Saci_2008"
"1849","SACI_RS09715",1891.47246791365,2014.79648892163,2420.51163987318,1775.97502120122,1678.19496946141,1642.35505963293,1962.74018275597,1534.1199202964,2102.87980990681,1979.50074218323,2577.80882685099,2075.71135446861,2072.38784068948,2148.01842006528,2204.60224797031,2068.5795933412,"Saci_2009"
"1850","SACI_RS09720",16.0294276941835,9.50375702321526,7.72093027072786,12.1434189483844,16.5068357651942,13.5731823110159,18.0067906674859,6.17352080602173,7.6283427203391,24.2140763569815,0,9.47813403866945,12.5904486068619,4.99539167457043,7.59334873009291,0,"Saci_2010"
